,phrase,lf-label
0, ДИССИДЕНТСТВО КОЛЛЕГА ТЕЛЕВИЗИОНЩИК ЗАКАНЧИВАТЬСЯ ВЫХОД В ЭФИР,LF
1, В 99 СЛУЧАЙ ИЗ 100,notLF
2, ДАЖЕ ПРОПАДАТЬ КАЗАТЬСЯ БЫ НОРКИН В ЭФИР НЕВИДИМЫЙ У МЫ НО ВИДИМЫЙ НЕ У МЫ ТЕЛЕВИДЕНИЕ ГУСИНСКИЙ,LF
3, ПАРФЕНОВ ПОДТВЕРЖДАТЬ ЭТОТ СТАТИСТИКА,notLF
4, ЕДИНСТВЕННЫЙ ИСКЛЮЧЕНИЕ СЕРГЕЙ ДОРЕНКО,notLF
5, ОН ПОРТИТЬ Я КАРТИНА СОВРЕМЕННЫЙ ДИССИДЕНТСТВО ПОРТИТЬ ОСОБЕННО ТО ЧТО ОН ЧУТЬ НЕ САЖАТЬ ЧТО КАК-ТО ПРИБЛИЖАТЬ ОН К КЛАССИЧЕСКИЙ СОВЕТСКИЙ ОБРАЗ ДИССИДЕНТ,notLF
6, НО НЕ САЖАТЬ А ОН НЕ ВЫХОДИТЬ В ЭФИР И ВЕСЬ ВРЕМЯ ГДЕ-ТО ПУТЕШЕСТВОВАТЬ,LF
7, ВИДИМО ТАК ДОГОВАРИВАТЬСЯ,notLF
8, ИЛИ ТАКОВ БЫТЬ ОН ВЫБОР,notLF
9, ВЫБОР ВСЕ ОСТАЛЬНОЙ НА ЭКРАН,notLF
10, НИ В КОЕЙ МЕРЕ НИКТО НЕ УПРЕКАТЬ,notLF
11, НАОБОРОТ СЧИТАТЬ ЧТО ФИНАЛ ДИССИДЕНТСТВО РАВНЫЙ ОН НАЧАЛО А НЕ ЛАГЕРЬ ЗОНА И ПОСЕЛЕНИЕ ПРИЗНАК ПРОДВИНУТОСТЬ НАШ РЫНОЧНЫЙ ЖИЗНЬ,notLF
12, БУДУЩЕЕ НЕДОВОЛЬНЫЙ ГЛАВНЫЙ ОБРАЗ ПОЛИТИКА И ПОЛИТИК ТО ЕСТЬ НЕПРОФЕССИОНАЛ В ОБЛАСТЬ ТЕЛЕВИДЕНИЕ ПРЕДМЕТ ТОРГ КАК И ПОЛОЖЕННЫЙ НА РЫНОК,LF
13, ПОЛИТИКА ПЕРЕВОДИТЬ В ЭКОНОМИЧЕСКИЙ А ТАКЖЕ ФИНАНСОВЫЙ ПЛОСКОСТЬ ТЕРЯТЬ ОСТРОТА ДА И ВООБЩЕ УХОДИТЬ НА ВТОРОЙ ИЛИ ТРЕТИЙ ПЛАН,notLF
14, НА ПЕРВЫЙ ВЫХОДИТЬ КОНТРАКТ КАК МИНИМУМ НЕ ХУДШИЙ ЧЕМ ДО БУНТ А В РЯД СЛУЧАЙ И БОЛЕЕ ВЫГОДНЫЙ,LF
15, СОВРЕМЕННЫЙ БУНТАРЬ С ЛОЗУНГ ПРОФЕССИОНАЛИЗМ НЕ ПРОПИВАТЬ ПРОДОЛЖАТЬ ПОСЛЕ НЕКОТОРЫЙ ПЕРЕРЫВ РАДОВАТЬ ЗРИТЕЛЬ И РАДОВАТЬСЯ САМ,notLF
16, ПРОФЕССИОНАЛ СПИВАТЬСЯ ОТ БЕССИЛИЕ ПРОТИВОСТОЯТЬ АГИТПРОП ИЛИ СОБСТВЕННЫЙ ЧЕЛОВЕЧЕСКИЙ СЛАБОСТЬ ОСТАВАТЬСЯ ТАМ ЖЕ ГДЕ ОСТАВАТЬСЯ И КЛАССИЧЕСКИЙ ДИССИДЕНТ,notLF
17, В ПРОШЛОЕ,LF
18, ЖЕРТВА РЕЖИМ,notLF
19, СУДЬБА ОНИ ВЫЗЫВАТЬ УВАЖЕНИЕ,LF
20, ПОДВИГ ОНИ НЕ ЗАБЫВАТЬ,notLF
21, В ТОТ ЧИСЛО И ТОТ ЖЕ КОЛЛЕГА ТЕЛЕВИЗИОНЩИК,notLF
22, НО СЕЙЧАС ТО ЯВНО НЕ ВРЕМЯ ДЛЯ ПОДВИГ,notLF
23, СЕЙЧАС КАК МУДРО ЗАМЕЧАТЬ В КОММЕРСАНТ АЛЬФРЕД КОХ ВРЕМЯ ТОРГОВЛЯ,notLF
24, И ЭТО В РАВНЫЙ СТЕПЕНЬ ОТНОСИТЬСЯ КАК К ВНЕШНИЙ ПОЛИТИКА ТАК И К ЖИЗНЬ ВООБЩЕ,notLF
25, ПРИНЦИПИАЛЬНЫЙ ПОЗИЦИЯ РАВНОСИЛЬНЫЙ ПРОИГРЫШ,notLF
26, БРАТЬ ТОТ ЖЕ ПАРФЕНОВ,notLF
