,phrase,lf-label
0, Диссидентство коллег телевизионщиков заканчивается выходом в эфир,LF
1, В 99 случаях из 100,notLF
2, Даже пропавший казалось бы Норкин в эфире невидимого у нас но видимого не у нас телевидения Гусинского,LF
3, Парфенов подтверждает эту статистику,notLF
4, Единственное исключение Сергей Доренко,notLF
5, Он портит мне картину современного диссидентства None особенно тем что его чуть не посадили что как-то приближает его к классическому советскому образу диссидента,notLF
6, Но не посадили а он не выходит в эфир и все время где-то путешествует,LF
7, Видимо так договорились,notLF
8, Или таков был его выбор,notLF
9, Выбор всех остальных на экране,notLF
10, Ни в коей мере никого не упрекаю,notLF
11, Наоборот считаю что финал диссидентства равный его началу а не лагерю зоне и поселению признак продвинутости нашей рыночной жизни,notLF
12, Будущее недовольных главным образом политикой и политиками то есть непрофессионалами в области телевидения предмет торга как и положено на рынке,LF
13, Политика переведенная в экономическую а также финансовую плоскость теряет остроту да и вообще уходит на второй или третий план,notLF
14, На первый выходит контракт как минимум не худший чем до бунта а в ряде случаев и более выгодный,LF
15, Современные бунтари с лозунгом профессионализм не пропьешь продолжают после некоторого перерыва радовать зрителей и радоваться сами,notLF
16, Профессионалы спивавшиеся от бессилия противостоять агитпропу или собственной человеческой слабости остались там же где None и классические диссиденты,notLF
17, В прошлом,LF
18, Жертвы режима,notLF
19, Судьба их вызывает уважение,LF
20, Подвиг их не забыт,notLF
21, В том числе и теми же коллегами телевизионщиками,notLF
22, Но сейчас то явно не время для подвигов,notLF
23, Сейчас как мудро заметил в Коммерсанте Альфред Кох время торговли,notLF
24, И это в равной степени относится как к внешней политике так и к жизни вообще,notLF
25, Принципиальная позиция равносильна проигрышу,notLF
26, Возьмем того же Парфенова,notLF
27, Решение акционеров о замене профессионального Йордана на непрофессионального Сенкевича повергло профессионала Парфенова в депрессию,notLF
28, Будучи современным и прагматичным несогласным он отвел себе на болезнь три месяца,notLF
29, Никакого хлопанья дверью ухода в отставку и прочей сентиментальной принципиальной ерунды,LF
30, За три месяца как он скорее всего рассудил или ишак сдохнет или шах,notLF
31, Ни того ни другого не произошло,notLF
32, Акционер подтвердил что ему решать кто подходит в начальники а не журналистам,notLF
33, Журналисты вынуждены были признать что сами как могли боролись за рынок так что придется мириться с его правилами,notLF
34, Парфенов не появился со своей самой рейтинговой программой ни на одном другом канале что вполне возможно говорит о слабости каналов а не Парфенова,notLF
35, Но факт остается фактом,notLF
36, Наш современный несогласный оказался перед выбором в эфире с Сенкевичем или вне эфира с собственными принципами,notLF
37, Ну Парфенов же не дурак за что вы дорогие зрители его и цените,notLF
38, Современный бунт и это самое оптимистичное заканчивается совершенно не бессмысленно,notLF
39, Он заканчивается ко всеобщему удовольствию,notLF
40, Зрители получают обратно Намедни с любимым ведущим,notLF
41, НТВ сохраняет самую рейтинговую программу и лицо канала,notLF
42, А Парфенов,notLF
43, Полагаю что действовал по Коху и выиграл,notLF
44, Во-первых он снова будет в эфире,LF
45, Во-вторых догадываюсь Сенкевичу придется доплатить Парфенову за то что тот наступая на горло собственным профессиональным принципам согласился работать с этим варягом спущенным ему на голову Газпромом,notLF
46, Сумма контракта названная одной из почтенных газет $ 1 млн в год,notLF
47, Я считаю что такой выход из трехмесячного отпуска вполне достоин современного диссидента,notLF
48, Если учесть что за последние два года Парфенов побывал диссидентом дважды если не трижды то можно с полным правом считать телеведущего вполне удачливым и прагматичным бизнесменом,LF
49, Ларри Кингу между прочим пришлось без всяких бунтов 10 лет каждый день держать свою программу на уровне самой рейтинговой прежде чем он получил зарплату $ 7 млн годовых,LF
50, Недавно президент Путин затребовал у правительства и Центробанка предложения по либерализации валютного регулирования,notLF
51, Пока известны две идеи уменьшить или вообще отменить обязательную продажу валютной выручки открывать счета за границей и переводить туда деньги без разрешения ЦБ,notLF
52, Много лет у нас действует правило экспортер обязан продавать внутри страны часть валютной выручки,notLF
53, Нынешний норматив 75 % был введен законом с подачи ЦБ вскоре после великого дефолта,notLF
54, Причина проста финансовый кризис лишил его валютных резервов а без них наш главный банк лишь контора по производству инструкций,notLF
55, Получив закон ЦБ приступил к массированной закупке валюты у экспортеров,notLF
56, Резервы стали стремительно расти и сейчас находятся на уровне $ 28 29 млрд.,LF
57, Их хватало не только для поддержки курса рубля,notLF
58, Центробанк даже помогал деньгами правительству которое до сих пор не вернуло ему более $ 6 млрд.,notLF
59, Казалось бы чего еще желать,notLF
60, Но в экономике все имеет свою цену,LF
61, Откупая валюту с рынка ЦБ запускает в хозяйство дополнительные рубли,notLF
62, Их количество зависит от потока экспортной выручки прежде всего от объема нефтедолларов,notLF
63, А не от того сколько денег нужно экономике,notLF
64, Так что возможен перебор,notLF
65, И он бывает на практике,notLF
66, Тогда появляются излишки денег которые провоцируют инфляцию давят на цены,notLF
67, Правило 75 % конечно ограничивает свободу бизнеса,notLF
68, Если экспортер заработал валюту то в принципе должен иметь возможность распорядиться ею по собственному усмотрению,LF
69, А ему не дают,notLF
70, Наконец обязательная продажа валютной выручки норма все же экзотическая,notLF
71, Применяется разве что на пространствах СНГ,notLF
72, Обязательная продажа мера временная,notLF
73, Пригодна лишь для плохой финансовой ситуации,notLF
74, А если ситуация стабильно хороша то из правила 75 % надо делать правило 50 % или вообще его отменять,notLF
75, Наступил этот момент или нет None вот в чем вопрос,LF
76, Сторонники либерализации говорят самое время,notLF
77, Пусть ЦБ оставит экспортеров в покое избавит от обязаловки,LF
78, Тогда часть валютного потока отвернет от ЦБ в сторону к российским банкам,notLF
79, Те будут снабжать импортеров,notLF
80, Продадут и правительству если ему понадобится валюта для уплаты внешнего долга,notLF
81, В результате снизим инфляцию банки ведь рубли не печатают поддержим банковскую систему и заживем как цивилизованные люди,LF
